Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group,Top Offense Type,Address,gcode,lat,long,zipcodes
2017-01-27,300,2017-01-27,2017,1,17014929,2,1700 B/O Massachusetts Ave NW,Religion,Jewish,Damage/Defacing/Destruction of Property,1700  Massachusetts Ave NW Washington DC,"1700, Massachusetts Avenue Northwest, Dupont Circle, Washington, District of Columbia, 20036, United States",38.907899,-77.038679,20036
2017-01-29,300,2017-01-29,2017,1,17016247,2,1700 B/O N St NW,Political Affiliation,Not Reported,ADW,1700  N St NW Washington DC,"1700, N Street Northwest, Dupont Circle, Washington, District of Columbia, 20036, United States",38.90716,-77.038651,20036
2017-02-04,1900,2017-02-04,2017,2,17020132,3,1300 B/O Vermont Ave NW,Sexual Orientation,Not Reported,ADW,1300  Vermont Ave NW Washington DC,"1300, Vermont Avenue Northwest, Logan Circle/Shaw, Washington, District of Columbia, 20005, United States",38.9075041,-77.0312208,20005
2017-02-06,1700,2017-02-07,2017,2,17021479,2,2800 B/O Wisconsin Ave NW,Religion,Jewish,Threats,2800  Wisconsin Ave NW Washington DC,"2800, Wisconsin Avenue Northwest, Washington, District of Columbia, 20007, United States",38.926305,-77.073291,20007
2017-02-17,225,2017-02-17,2017,2,17027193,3,2400 B/O 18th St NW,Race,Black,Simple Assault,2400  18th St NW Washington DC,"2400, 18th Street Northwest, Adams Morgan, Washington, District of Columbia, 20009, United States",38.92069,-77.042159,20009
2017-02-18,25,2017-02-18,2017,2,17027720,3,1800 B/O Columbia Rd NW,Ethnicity/National Origin,Black,Threats,1800  Columbia Rd NW Washington DC,"1800, Columbia Road Northwest, Adams Morgan, Washington, District of Columbia, 20009, United States",38.922519,-77.042737,20009
2017-02-03,1100,2017-02-20,2017,2,17029252,1,500 B/O Indiana Ave NW,Sexual Orientation,Not Reported,Simple Assault,500  Indiana Ave NW Washington DC,"H. Carl Moultrie Courthouse, 500, Indiana Avenue Northwest, Downtown East, Washington, District of Columbia, 20001, United States",38.8940619,-77.01880275004035,20001
2017-02-18,948,2017-02-21,2017,2,17029569,2,2800 B/O Wisconsin Ave NW,Religion,Jewish,Threats,2800  Wisconsin Ave NW Washington DC,"2800, Wisconsin Avenue Northwest, Washington, District of Columbia, 20007, United States",38.926305,-77.073291,20007
2017-02-21,1500,2017-02-21,2017,2,17029776,7,3300 B/O 6th St SE,Sexual Orientation,Not Reported,Damage/Defacing/Destruction of Property,3300  6th St SE Washington DC,"3300, 6th Street Southeast, Congress Heights, Washington, District of Columbia, 20032, United States",38.84210653325814,-76.99833801829527,20032
2017-02-22,1820,2017-02-23,2017,2,17031021,2,600 B/O 15th St NW,Sexual Orientation,Not Reported,Simple Assault,600  15th St NW Washington DC,"600, 15th Street Northwest, Washington, District of Columbia, 20005, United States",38.8975728,-77.034074,20006
2017-02-28,1555,2017-02-28,2017,2,17033942,4,400 B/O Shepherd St NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault,400  Shepherd St NW Washington DC,"400, Shepherd Street Northwest, Petworth, Washington, District of Columbia, 20011, United States",38.93988,-77.017436,20011
2017-02-23,1326,2017-03-03,2017,3,17035641,2,2100 B/O G St NW,Political Affiliation,Not Reported,Damage/Defacing/Destruction of Property,2100  G St NW Washington DC,"2100, G Street Northwest, George Washington University, Washington, District of Columbia, 20037, United States",38.89824,-77.046812,20052
2017-03-03,1705,2017-03-03,2017,3,17035857,2,3000 B/O M St NW,Race,White,Threats,3000  M St NW Washington DC,"3000, M Street Northwest, Georgetown, Washington, District of Columbia, 20007, United States",38.905136,-77.059323,20007
2017-02-17,2200,2017-03-08,2017,3,17038173,2,1300 B/O New Hampshire Ave NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault,1300  New Hampshire Ave NW Washington DC,"1300, New Hampshire Avenue Northwest, Washington, District of Columbia, 20036, United States",38.90739,-77.045672,20036
2017-03-08,1625,2017-03-08,2017,3,17038694,6,200 B/O 57th St NE,Gender Identity/Expression,Not Reported,Threats,200  57th St NE Washington DC,"200, 57th Street Northeast, Grant Park, Washington, District of Columbia, 20019, United States",38.891155,-76.920138,20019
2017-03-09,1650,2017-03-09,2017,3,17039367,4,3800 B/O Georgia Ave NW,Gender Identity/Expression,Not Reported,Threats,3800  Georgia Ave NW Washington DC,"Georgia Avenue Northwest, Takoma, Washington, District of Columbia, 20012, United States",38.9837103,-77.0265877,20012
2017-03-12,1400,2017-03-12,2017,3,17040976,3,2800 B/O Georgia Ave NW,Gender Identity/Expression,Not Reported,Damage/Defacing/Destruction of Property,2800  Georgia Ave NW Washington DC,"2800, Georgia Avenue Northwest, Pleasant Plains, Washington, District of Columbia, 20059, United States",38.9262032,-77.0230452,20059
2017-03-13,2115,2017-03-14,2017,3,17041805,1,400 B/O New Jersey Ave NW,Ethnicity/National Origin,Asian,Damage/Defacing/Destruction of Property,400  New Jersey Ave NW Washington DC,"Hyatt Regency Washington on Capitol Hill, 400, New Jersey Avenue Northwest, Downtown East, Washington, District of Columbia, 20001, United States",38.8955157,-77.01175359660192,20001
2017-03-16,200,2017-03-16,2017,3,17043129,3,1600 B/O R St NW,Sexual Orientation,Not Reported,ADW,1600  R St NW Washington DC,"1600, R Street Northwest, Dupont Circle, Washington, District of Columbia, 20009, United States",38.912527,-77.03667,20009
2017-03-19,1509,2017-03-20,2017,3,17044818,7,Unit B/O Galveston ST SW,Sexual Orientation,Not Reported,Threats,  Galveston ST SW Washington DC,"Galveston Street Southwest, Bellevue, Washington, District of Columbia, 20032, United States",38.8236,-77.008619,20032
2017-03-20,2302,2017-03-20,2017,3,17045690,5,1100 B/O Mount Olivet Rd NE,Gender Identity/Expression,Not Reported,Simple Assault,1100  Mount Olivet Rd NE Washington DC,"1100, Mount Olivet Road Northeast, Ivy City, Washington, District of Columbia, 20002, United States",38.910993,-76.987058,20002
2017-03-21,1830,2017-03-20,2017,3,17046194,3,1900 B/O 2nd ST NW,Race,Black,Simple Assault,1900  2nd ST NW Washington DC,"1900, 2nd Street Northwest, Shaw, Common Good Farm, Washington, District of Columbia, 20001, United States",38.916395,-77.014536,20001
2017-03-25,505,2017-03-25,2017,3,17048410,3,1300 B/O R St NW,Sexual Orientation,Not Reported,Simple Assault,1300  R St NW Washington DC,"1300, R Street Northwest, Dupont Circle, Washington, District of Columbia, 20009, United States",38.912525,-77.029778,20009
2017-03-26,1416,2017-03-26,2017,3,17049191,3,800 B/O Mount Vernon Pl NW,Ethnicity/National Origin,Arab/Middle Eastern,ADW,800  Mount Vernon Pl NW Washington DC,"800, Mount Vernon Place Northwest, Washington, District of Columbia, 20001, United States",38.902863,-77.023021,20001
2017-04-01,1732,2017-04-02,2017,4,17053072,6,4500 B/O Foote St NE,Race,White,Threats,4500  Foote St NE Washington DC,"4500, Foote Street Northeast, Central Northeast, Washington, District of Columbia, 20019, United States",38.897596993108905,-76.93724419904984,20019
2017-03-29,1427,2017-04-03,2017,4,17054100,2,2800 B/O Wisconsin Ave NW,Religion,Jewish,Stalking,2800  Wisconsin Ave NW Washington DC,"2800, Wisconsin Avenue Northwest, Washington, District of Columbia, 20007, United States",38.926305,-77.073291,20007
2017-04-08,1930,2017-04-09,2017,4,17057623,4,1300 B/O Perry Pl NW,Gender Identity/Expression,Not Reported,ADW,1300  Perry Pl NW Washington DC,"1300, Perry Place Northwest, Columbia Heights, Washington, District of Columbia, 20010, United States",38.93574,-77.031046,20010
2017-04-11,1328,2017-04-11,2017,4,17059244,2,900 B/O E St NW,Gender Identity/Expression,Not Reported,Threats,900  E St NW Washington DC,"900, E Street Northwest, Penn Quarter, Washington, District of Columbia, 20004, United States",38.89605,-77.024119,20463
2017-04-15,1600,2017-04-16,2017,4,17062506,5,1300 B/O Florida Ave NE,Gender Identity/Expression,Not Reported,Simple Assault,1300  Florida Ave NE Washington DC,"1300, Florida Avenue Northeast, Near Northeast, Washington, District of Columbia, 20002, United States",38.901954,-76.988098,20002
2017-04-16,57,2017-04-16,2017,4,17062233,2,Unit B/O Dupont Cir NW,Ethnicity/National Origin,Arab/Middle Eastern or Jewish,Threats,  Dupont Cir NW Washington DC,"Dupont Circle Northwest, Dupont Circle and surrunding block, Dupont Circle, Washington, District of Columbia, 20036, United States",38.9091496,-77.0439183,20036
2017-04-22,2308,2017-04-23,2017,4,17066470,6,3900 B/O Minnesota Ave NE,Sexual Orientation,Not Reported,Simple Assault,3900  Minnesota Ave NE Washington DC,"7 Value Mart, 3900, Minnesota Avenue Northeast, Benning, Washington, District of Columbia, 20019, United States",38.8933939,-76.9507725,20019
2017-04-23,203,2017-04-23,2017,4,17066548,1,500 B/O F St NW,Race,Black,Simple Assault,500  F St NW Washington DC,"500, F Street Northwest, Penn Quarter, Washington, District of Columbia, 20001, United States",38.897253,-77.019082,20004
2017-04-24,934,2017-04-24,2017,4,17067226,3,1400 B/O Belmont St NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault,1400  Belmont St NW Washington DC,"1400, Belmont Street Northwest, Columbia Heights, Washington, District of Columbia, 20009, United States",38.92051,-77.031987,20009
2017-04-26,1300,2017-04-26,2017,4,17068605,7,3400 B/O 4th St SE,Sexual Orientation,Not Reported,Simple Assault,3400  4th St SE Washington DC,"3400, 4th Street Southeast, Congress Heights, Washington, District of Columbia, 20032, United States",38.840269,-77.000465,20032
2017-04-29,13,2017-04-29,2017,4,17070472,3,2300 B/O Sherman Ave NW,Sexual Orientation,Not Reported,Robbery,2300  Sherman Ave NW Washington DC,"2300, Sherman Avenue Northwest, Columbia Heights, Washington, District of Columbia, 20001, United States",38.920789,-77.025331,20001
2017-04-29,437,2017-04-29,2017,4,17070607,4,4600 B/O Georgia Ave NW,Sexual Orientation,Not Reported,ADW,4600  Georgia Ave NW Washington DC,"Georgia Avenue Northwest, Takoma, Washington, District of Columbia, 20012, United States",38.9837103,-77.0265877,20012
2017-05-01,9,2017-05-01,2017,5,17071780,3,1400 B/O Irving St NW,Sexual Orientation,Not Reported,Simple Assault,1400  Irving St NW Washington DC,"Lou's City Bar, 1400, Irving Street Northwest, Columbia Heights, Washington, District of Columbia, 20010, United States",38.9284992,-77.033826,20010
2017-04-14,900,2017-05-07,2017,5,17076185,4,4900 B/O 7th Pl NE,Political Affiliation,Not Reported,Damage/Defacing/Destruction of Property,4900  7th Pl NE Washington DC,"4900, 7th Place Northeast, Michigan Park, Washington, District of Columbia, 20017, United States",38.948363,-76.99591,20017
2017-05-05,2300,2017-05-07,2017,5,17075921,3,1800 B/O Kenyon St NW,Race,Black,Damage/Defacing/Destruction of Property,1800  Kenyon St NW Washington DC,"1800, Kenyon Street Northwest, Mount Pleasant, Washington, District of Columbia, 20010, United States",38.929611,-77.041462,20010
2017-05-06,2330,2017-05-07,2017,5,17075821,5,700 B/O Monroe St NE,Sexual Orientation,Not Reported,ADW,700  Monroe St NE Washington DC,"Bennett Career Institute, 700, Monroe Street Northeast, Edgewood, Washington, District of Columbia, 20017, United States",38.93264905,-76.9959404598301,20017
2017-05-07,1239,2017-05-08,2017,5,17076502,4,6000 B/O 16th St NW,Religion,Jewish,Threats,6000  16th St NW Washington DC,"6000, 16th Street Northwest, Washington, District of Columbia, 20011, United States",38.963185,-77.036518,20011
2017-05-08,2117,2017-05-09,2017,5,17077409,2,1200 B/O 23rd St NW,Sexual Orientation,Not Reported,Threats,1200  23rd St NW Washington DC,"1200, 23rd Street Northwest, West End, Dupont Circle, Washington, District of Columbia, 20037, United States",38.9056766,-77.0503315,20037
2017-05-13,156,2017-05-13,2017,5,17079789,1,1800 B/O Half St SW,Ethnicity/National Origin,Arab/Middle Eastern,Damage/Defacing/Destruction of Property,1800  Half St SW Washington DC,"1800, Half Street Southwest, Buzzard Point, Washington, District of Columbia, 20024, United States",38.86742098039216,-77.01058496078431,20024
2017-05-13,935,2017-05-13,2017,5,17079893,4,800 B/O Quincy St NW,Gender Identity/Expression,Not Reported,Threats,800  Quincy St NW Washington DC,"800, Quincy Street Northwest, Petworth, Washington, District of Columbia, 20011, United States",38.937526,-77.024652,20010
2017-05-14,1835,2017-05-14,2017,5,17080746,4,3000 B/O Georgia Ave NW,Sexual Orientation,Not Reported,Simple Assault,3000  Georgia Ave NW Washington DC,"Georgia Avenue Northwest, Takoma, Washington, District of Columbia, 20012, United States",38.9837103,-77.0265877,20012
2017-05-29,1350,2017-05-29,2017,5,17090505,4,3900 B/O Georgia Ave NW,Race,Black,Threats,3900  Georgia Ave NW Washington DC,"Wendy's, 3900, Georgia Avenue Northwest, Petworth, Washington, District of Columbia, 20011, United States",38.9388746,-77.02517282303162,20011
2017-05-29,2024,2017-05-30,2017,5,17091019,2,2800 B/O Quebec St NW,Religion,Jewish,Threats,2800  Quebec St NW Washington DC,"2800, Quebec Street Northwest, Northwest, Cleveland Park, Washington, District of Columbia, 20008, United States",38.936182,-77.05568437157649,20008
2017-06-01,1701,2017-06-01,2017,6,17092794,6,2100 B/O 36th Pl SE,Race,Black,Displaying Symbols,2100  36th Pl SE Washington DC,"2100, 36th Place Southeast, Washington, District of Columbia, 20020, United States",38.86491501417025,-76.95645367197176,20020
2017-06-02,901,2017-06-02,2017,6,17093183,3,700 B/O Gresham Pl NW,Sexual Orientation,Not Reported,Simple Assault,700  Gresham Pl NW Washington DC,"700, Gresham Place Northwest, Washington, District of Columbia, 20001, United States",38.926542,-77.023017,20001
2017-06-03,1815,2017-06-03,2017,6,17094255,4,3400 B/O Georgia Ave NW,Ethnicity/National Origin,Latino/Hispanic,ADW,3400  Georgia Ave NW Washington DC,"3400, Georgia Avenue Northwest, Pleasant Plains, Washington, District of Columbia, 20012, United States",38.93228165,-77.02412737256924,20012
2017-06-07,1755,2017-06-07,2017,6,17096778,3,1600 B/O V St NW,Sexual Orientation,Not Reported,Damage/Defacing/Destruction of Property,1600  V St NW Washington DC,"1600, V Street Northwest, Dupont Circle, Washington, District of Columbia, 20009, United States",38.918031,-77.036655,20009
2017-06-05,1930,2017-06-12,2017,6,17099918,5,1600 B/O Montana Ave NE,Sexual Orientation,Not Reported,Cruelty to Children,1600  Montana Ave NE Washington DC,"1600, Montana Avenue Northeast, Northeast, Washington, District of Columbia, 20018, United States",38.92198844105151,-76.98187595947206,20018
2017-06-12,2230,2017-06-12,2017,6,17099546,2,1000 B/O Massachusetts Ave NW,Race,Black,Simple Assault,1000  Massachusetts Ave NW Washington DC,"1000, Massachusetts Avenue Northwest, Washington, District of Columbia, 20001, United States",38.903556,-77.026169,20001
2017-06-14,1844,2017-06-14,2017,6,17101364,5,800 B/O Florida Ave NE,Race,Black,Damage/Defacing/Destruction of Property,800  Florida Ave NE Washington DC,"Chapel Hall, 800, Florida Avenue Northeast, Washington, District of Columbia, 20002, United States",38.90574585,-76.99488754604664,20002
2017-06-15,1151,2017-06-15,2017,6,17101718,7,3100 B/O Martin Luther King Jr Ave SE,Race,Black,Displaying Symbols,3100  Martin Luther King Jr Ave SE Washington DC,"3100, Martin Luther King Junior Avenue Southeast, Congress Heights, Washington, District of Columbia, 20032, United States",38.84404,-76.998127,20032
2017-06-15,900,2017-06-15,2017,6,17101745,3,1400 B/O V St NW,Race,Black,Displaying Symbols,1400  V St NW Washington DC,"1400, V Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20009, United States",38.91803,-77.032961,20009
2017-06-14,1330,2017-06-16,2017,6,17102380,3,1400 B/O V St NW,Race,Black,Displaying Symbols,1400  V St NW Washington DC,"1400, V Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20009, United States",38.91803,-77.032961,20009
2017-06-16,1824,2017-06-16,2017,6,17102708,5,1800 B/O Kendall St NE,Race,Black,Simple Assault,1800  Kendall St NE Washington DC,"1800, Kendall St NE, Ivy City, Washington, District of Columbia, 20002, United States",38.911159,-76.985953,20002
2017-06-17,2156,2017-06-17,2017,6,17103427,7,3400 B/O 23rd St SE,Race,Black,Displaying Symbols,3400  23rd St SE Washington DC,"3400, 23rd Street Southeast, Shipley, Washington, Prince George's County, District of Columbia, 20020, United States",38.847896,-76.970773,20020
2017-06-18,139,2017-06-18,2017,6,17103557,3,900 B/O U St NW,Race,Black,Simple Assault,900  U St NW Washington DC,"900, U Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20001, United States",38.916912,-77.024114,20009
2017-06-18,1952,2017-06-18,2017,6,17103962,2,1800 B/O 23rd St NW,Ethnicity/National Origin,Jewish,Displaying Symbols,1800  23rd St NW Washington DC,"1800, 23rd Street Northwest, Kalorama Heights, Washington, District of Columbia, 20008, United States",38.914955,-77.050725,20008
2017-06-20,1600,2017-06-20,2017,6,17105164,5,3100 B/O Fort Lincoln Dr NE,Race,Black,Displaying Symbols,3100  Fort Lincoln Dr NE Washington DC,"Fort Lincoln Drive Northeast, Fort Lincoln, Washington, District of Columbia, 20722:20781, United States",38.9213378,-76.9555072,20722
2017-06-20,2200,2017-06-22,2017,6,17106346,3,1600 B/O R St NW,Sexual Orientation,Not Reported,Simple Assault,1600  R St NW Washington DC,"1600, R Street Northwest, Dupont Circle, Washington, District of Columbia, 20009, United States",38.912527,-77.03667,20009
2017-06-20,732,2017-06-24,2017,6,17104837,2,3800 B/O Connecticut Ave NW,Religion,Jewish,Displaying Symbols,3800  Connecticut Ave NW Washington DC,"3800, Connecticut Avenue Northwest, Northwest, Cleveland Park, Washington, District of Columbia, 20008, United States",38.93897520930232,-77.06060645348838,20015
2017-07-03,2354,2017-07-04,2017,7,17113893,2,1500 B/O 17th St NW,Sexual Orientation,Not Reported,Threats,1500  17th St NW Washington DC,"1500, 17th Street Northwest, Dupont Circle, Washington, District of Columbia, 20036, United States",38.909768,-77.038591,20009
2017-03-01,1700,2017-07-07,2017,7,17116110,4,400 B/O Hamilton St NW,Race,Black,Damage/Defacing/Destruction of Property,400  Hamilton St NW Washington DC,"400, Hamilton Street Northwest, Brightwood Park, Washington, District of Columbia, 20011, United States",38.953116,-77.017751,20011
2017-07-09,1,2017-07-09,2017,7,17117228,3,200 B/O Q St NW,Sexual Orientation,Not Reported,Threats,200  Q St NW Washington DC,"200, Q Street Northwest, Truxton Circle, Washington, District of Columbia, 20001, United States",38.91103893003271,-77.01368365426899,20001
2017-07-16,245,2017-07-17,2017,7,17122902,5,2100 B/O Queens Chapel Rd NE,Sexual Orientation,Not Reported,ADW,2100  Queens Chapel Rd NE Washington DC,"2100, Queens Chapel Road Northeast, Langdon, Washington, District of Columbia, 20018, United States",38.919538619223566,-76.97280633277009,20018
2017-07-17,1450,2017-07-17,2017,7,17122588,2,4600 B/O 41st ST NW,Race,White,Damage/Defacing/Destruction of Property,4600  41st ST NW Washington DC,"4600, 41st Street Northwest, Tenleytown, Friendship Heights, Washington, District of Columbia, 20016, United States",38.949819,-77.080479,20016
2017-07-20,142,2017-07-20,2017,7,17124356,4,6700 B/O Georgia Ave NW,Race,Black,Threats,6700  Georgia Ave NW Washington DC,"Georgia Avenue Northwest, Takoma, Washington, District of Columbia, 20012, United States",38.9837103,-77.0265877,20012
2017-07-20,1030,2017-07-20,2017,7,17124531,1,900 B/O Constitution Ave NE,Ethnicity/National Origin,Latino/Hispanic,Simple Assault,900  Constitution Ave NE Washington DC,"900, Constitution Avenue Northeast, Stanton Park, Washington, District of Columbia, 20002, United States",38.892093,-76.993598,20002
2017-07-20,2138,2017-07-21,2017,7,17124884,4,6100 B/O 16th St NW,Ethnicity/National Origin,Black,Simple Assault,6100  16th St NW Washington DC,"6100, 16th Street Northwest, Washington, District of Columbia, 20011, United States",38.964958,-77.03652,20012
2017-07-21,2100,2017-07-24,2017,7,17127017,6,4000 B/O Minnesota Ave NE,Sexual Orientation,Not Reported,Simple Assault,4000  Minnesota Ave NE Washington DC,"4000, Minnesota Avenue Northeast, Central Northeast, Washington, District of Columbia, 20019, United States",38.89528,-76.94918,20019
2017-07-23,900,2017-07-25,2017,7,17127019,6,4000 B/O Minnesota Ave NE,Sexual Orientation,Not Reported,Threats,4000  Minnesota Ave NE Washington DC,"4000, Minnesota Avenue Northeast, Central Northeast, Washington, District of Columbia, 20019, United States",38.89528,-76.94918,20019
2017-07-27,1956,2017-07-27,2017,7,17129123,2,600 B/O 13th ST NW,Sexual Orientation,Not Reported,Threats,600  13th ST NW Washington DC,"Mastro's Steakhouse, 600, 13th Street Northwest, Downtown, Washington, District of Columbia, 20005, United States",38.8975669,-77.0299434,20005
2017-07-29,1838,2017-07-29,2017,7,17130253,2,1200 B/O New Hampshire Ave NW,Political Affiliation,Not Reported,ADW,1200  New Hampshire Ave NW Washington DC,"Meiwah, 1200, New Hampshire Avenue Northwest, Washington, District of Columbia, 20036, United States",38.9054718,-77.0477261,20036
2017-07-30,2339,2017-07-31,2017,7,17131013,2,1200 B/O 18th ST NW,Sexual Orientation,Not Reported,ADW,1200  18th ST NW Washington DC,"1200, 18th Street Northwest, Golden Triangle, Washington, District of Columbia, 20009, United States",38.9059421,-77.0420545,20009
2017-08-02,2030,2017-08-02,2017,8,17132873,1,400 B/O Massachusetts Ave NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,400  Massachusetts Ave NW Washington DC,"400, Massachusetts Avenue Northwest, Mount Vernon Square, Washington, District of Columbia, 20001, United States",38.90013,-77.016358,20001
2017-08-03,1000,2017-08-03,2017,8,17133148,2,1700 B/O New York Ave NW,Ethnicity/National Origin,Jewish,Threats,1700  New York Ave NW Washington DC,"1700, New York Avenue Northwest, Washington, District of Columbia, 20006, United States",38.8960607,-77.04036532516199,20006
2017-08-05,1908,2017-08-05,2017,8,17134640,3,1200 B/O U St NW,Race,Black,Threats,1200  U St NW Washington DC,"1200, U Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20060, United States",38.9167392,-77.0283304,20009
2017-08-06,407,2017-08-06,2017,8,17134934,2,1500 B/O 21st ST NW,Race,White,Robbery,1500  21st ST NW Washington DC,"1500, 21st Street Northwest, West End, Dupont Circle, Washington, District of Columbia, 20009, United States",38.9097831,-77.0468289,20009
2017-08-06,1414,2017-08-06,2017,8,17135081,4,1500 B/O Newton St NW,Sexual Orientation,Not Reported,Threats,1500  Newton St NW Washington DC,"1500, Newton Street Northwest, Mount Pleasant, Columbia Heights, Washington, District of Columbia, 20010, United States",38.93250032364107,-77.0346616489819,20010
2017-08-12,343,2017-08-12,2017,8,17138668,2,1800 B/O I St NW,Sexual Orientation,Not Reported,ADW,1800  I St NW Washington DC,"1800, I Street Northwest, Golden Triangle, Washington, District of Columbia, 20006, United States",38.901254,-77.041853,20006
2017-08-14,858,2017-08-14,2017,8,17139860,5,1600 B/O Gales St NE,Sexual Orientation,Not Reported,Damage/Defacing/Destruction of Property,1600  Gales St NE Washington DC,"1600, Gales St NE, Kingman Park, Washington, District of Columbia, 20002, United States",38.898547,-76.98168,20002
2017-08-15,2259,2017-08-16,2017,8,17141006,1,100 B/O I St SE,Race,Black,Simple Assault,100  I St SE Washington DC,"100 Capitol Yards, 100, I Street Southeast, Near Southeast, Washington, District of Columbia, 20003, United States",38.8795589,-77.0064148,20003
2017-08-16,700,2017-08-16,2017,8,17141306,2,1700 B/O 38th ST NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,1700  38th ST NW Washington DC,"1700, 38th Street Northwest, Burleith/Hillandale, Glover Park, Washington, District of Columbia, 20007, United States",38.913663,-77.074258,20007
2017-08-17,2000,2017-08-18,2017,8,17142495,3,1700 B/O Columbia Rd NW,Race,Black,Damage/Defacing/Destruction of Property,1700  Columbia Rd NW Washington DC,"Ontario 17, 1700, Columbia Road Northwest, Washington, District of Columbia, 20009, United States",38.92458325,-77.03931988363308,20009
2017-08-18,950,2017-08-18,2017,8,17142554,4,3500 B/O Georgia Ave NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,3500  Georgia Ave NW Washington DC,"Bank of America, 3500, Georgia Avenue Northwest, Pleasant Plains, Washington, District of Columbia, 20012, United States",38.9331132,-77.0241352,20012
2017-08-24,900,2017-08-24,2017,8,17146354,1,1200 B/O South Capitol ST SE,Race,Black,Displaying Symbols,1200  South Capitol ST SE Washington DC,"1200, South Capitol Street Southeast, Washington, District of Columbia, 20003, United States",38.874717,-77.008904,20590
2017-08-25,557,2017-08-25,2017,8,17146816,1,700 B/O 8th St NW,Race,Black,Damage/Defacing/Destruction of Property,700  8th St NW Washington DC,"700, 8th Street Northwest, Chinatown, Washington, District of Columbia, 20001, United States",38.898579,-77.023037,20001
2017-08-28,1413,2017-08-28,2017,8,17148856,2,900 B/O 16th ST NW,Race,White,ADW,900  16th ST NW Washington DC,"900, Black Lives Matter Plaza Northwest, Golden Triangle, Washington, District of Columbia, 20006, United States",38.901468,-77.036648,20012
2017-08-27,43,2017-08-30,2017,8,17150165,2,1400 B/O New York Ave NW,Political Affiliation,Not Reported,Threats,1400  New York Ave NW Washington DC,"1400, New York Avenue Northwest, Downtown, Washington, District of Columbia, 20005, United States",38.899267,-77.032048,20005
2017-08-30,740,2017-08-30,2017,8,17149831,3,Unit B/O O St NW,Gender Identity/Expression,Not Reported,Threats,O St NW Washington DC,"O Street Northwest, Truxton Circle, Washington, District of Columbia, 20554, United States",38.90857,-77.0136668,20001
2017-09-03,220,2017-09-03,2017,9,17152445,1,700 B/O 8th St NW,Race,Black,Damage/Defacing/Destruction of Property,700  8th St NW Washington DC,"700, 8th Street Northwest, Chinatown, Washington, District of Columbia, 20001, United States",38.898579,-77.023037,20001
2017-09-06,1200,2017-09-07,2017,9,17154874,1,1500 B/O C ST SE,Ethnicity/National Origin,Jewish,Displaying Symbols,1500  C ST SE Washington DC,"1500, C Street Southeast, Hill East, Washington, District of Columbia, 20003, United States",38.885434,-76.983493,20003
2017-09-09,234,2017-09-09,2017,9,17156097,3,1000 B/O U St NW,Sexual Orientation,Not Reported,Simple Assault,1000  U St NW Washington DC,"CVS Pharmacy, 1000, U Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20060, United States",38.9168527,-77.0261698,20060
2017-09-10,315,2017-09-10,2017,9,17156744,3,1900 B/O 9th St NW,Race,Black,Threats,1900  9th St NW Washington DC,"1900, 9th Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20001, United States",38.915694,-77.024069,20009
2016-11-15,0,2017-09-11,2017,9,17157715,4,1400 B/O Juniper St NW,Religion,Jewish,Displaying Symbols,1400  Juniper St NW Washington DC,"1400, Juniper Street Northwest, Colonial Village, Shepherd Park, Washington, District of Columbia, 20012, United States",38.983135,-77.033566,20012
2017-09-11,1458,2017-09-11,2017,9,17157558,7,200 B/O Elmira St SW,Sexual Orientation,Not Reported,Threats,200  Elmira St SW Washington DC,"200, Elmira Street Southwest, Washington, District of Columbia, 20032, United States",38.8258439,-77.0128719,20032
2017-09-11,1720,2017-09-11,2017,9,17157628,1,400 B/O 2nd St NW,Political Affiliation,Not Reported,Damage/Defacing/Destruction of Property,400  2nd St NW Washington DC,"400, 2nd Street Northwest, Downtown East, Washington, District of Columbia, 20001, United States",38.895457020604375,-77.01376016531471,20001
2017-09-13,224,2017-09-13,2017,9,17158561,2,1100 B/O Connecticut Ave NW,Political Affiliation,Not Reported,Robbery,1100  Connecticut Ave NW Washington DC,"1100, Connecticut Avenue Northwest, Golden Triangle, Washington, District of Columbia, 20036, United States",38.90382,-77.040169,20015
2017-09-15,1230,2017-09-15,2017,9,17160176,1,Unit B/O H St NW,Disability,Not Reported,Simple Assault,  H St NW Washington DC,"H St NW, Foggy Bottom, Washington, District of Columbia, 20037, United States",38.8995791,-77.0531535,20037
2017-09-16,1812,2017-09-16,2017,9,17160966,1,1500 B/O 2nd St NW,Sexual Orientation,Not Reported,ADW,1500  2nd St NW Washington DC,"2nd St NW, Petworth, Washington, District of Columbia, 20011, United States",38.942801,-77.0138614,20011
